Rk,Player,Tm,Age,Pos,G,GS,Rec,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
273,Gerald McNeil,CLE,26,WR,16,0,5,74,14.8,0,23,,0.3,4.6,3,McNeGe00
274,James Milling,ATL,23,WR,6,0,5,66,13.2,0,34,,0.8,11,0,MillJa00
275,Vance Mueller,RAI,24,RB,14,1,5,63,12.6,0,28,,0.4,4.5,1,MuelVa00
276,John Spagnola,SEA,31,TE,16,4,5,40,8,1,16,,0.3,2.5,0,SpagJo00
277,Sylvester Stamps,ATL,27,RB,4,1,5,22,4.4,0,7,,1.3,5.5,1,StamSy00
278,Lars Tate,TAM,22,RB,15,5,5,23,4.6,1,9,,0.3,1.5,2,TateLa00
279,Junior Tautalatasi,PHI,26,RB,10,0,5,48,9.6,0,21,,0.5,4.8,0,TautJu00
280,Gene Taylor,TAM,26,WR,4,0,5,53,10.6,0,14,,1.3,13.3,0,TaylGe20
281,Wes Chandler,SFO,32,WR,4,4,4,33,8.3,0,9,,1,8.3,0,ChanWe00
282,Terrence Flagler,SFO,24,RB,3,0,4,72,18,0,57,,1.3,24,0,FlagTe00
283,Bruce Hardy,MIA,32,TE,2,2,4,46,11.5,0,19,,2,23,0,HardBr00
284,Tony Jordan,PHO,23,RB,9,2,4,24,6,0,12,,0.4,2.7,1,JordTo00
285,Trey Junkin,RAI,27,LS,16,1,4,25,6.3,2,9,,0.3,1.6,0,JunkTr20
286,Sammy Martin,NWE,23,WR,16,0,4,51,12.8,0,21,,0.3,3.2,0,MartSa00
287,Andy Parker,RAI,27,TE,16,11,4,33,8.3,0,12,,0.3,2.1,0,ParkAn00
288,Lee Rouson,NYG,26,RB,16,0,4,61,15.3,0,31,,0.3,3.8,2,RousLe00
289,Jo-Jo Townsell,NYJ,28,WR,16,0,4,40,10,0,19,,0.3,2.5,3,TownJo00
290,Tommie Agee,SEA,24,RB,16,0,3,31,10.3,0,13,,0.2,1.9,0,AgeeTo00
291,Alex Higdon,ATL,22,TE,3,0,3,60,20,2,34,,1,20,0,HigdAl20
292,Anthony Jones,2TM,28,TE,12,4,3,21,7,0,11,,0.3,1.8,0,JoneAn21
293,Glen Kozlowski,CHI,26,WR,16,0,3,92,30.7,0,50,,0.2,5.8,1,KozlGl00
294,Mark Lewis,DET,27,TE,3,3,3,32,10.7,1,23,,1,10.7,0,LewiMa21
295,Rick Massie,DEN,28,WR,4,0,3,39,13,0,21,,0.8,9.8,0,MassRi20
296,Mike Mularkey,MIN,27,TE,16,0,3,39,13,0,19,,0.2,2.4,0,MulaMi00
297,Steve Strachan,RAI,25,RB,16,0,3,19,6.3,1,13,,0.2,1.2,2,StraSt00
298,Scott Williams,DET,26,RB,11,0,3,46,15.3,0,32,,0.3,4.2,0,WillSc00
299,Woody Bennett,MIA,33,FB,16,7,2,16,8,0,12,,0.1,1,1,BennWo00
300,Scott Bolton,GNB,23,WR,4,0,2,33,16.5,0,18,,0.5,8.3,0,BoltSc20
301,Ron Brown,RAM,27,WR,7,0,2,16,8,0,10,,0.3,2.3,1,BrowRo01
302,Cornell Burbage,DAL,23,WR,10,0,2,50,25,0,41,,0.2,5,1,BurbCo00
303,Carl Byrum,BUF,25,RB,15,1,2,0,0,0,3,,0.1,0,1,ByruCa00
304,Joe Caravello,WAS,25,TE,12,6,2,15,7.5,0,8,,0.2,1.3,0,CaraJo00
305,Patrick Collins,GNB,22,RB,5,0,2,17,8.5,0,9,,0.4,3.4,0,CollPa20
306,Paco Craig,DET,23,WR,8,0,2,29,14.5,0,18,,0.3,3.6,0,CraiPa20
307,Keith Griffin,WAS,27,RB,8,0,2,9,4.5,1,5,,0.3,1.1,0,GrifKe00
